,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
2450,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,F
2457,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
2460,0.0,1.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
2463,0.0,0.0,Adolescent,Unsafe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Night,M
2467,0.0,1.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,F
2471,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,M
2480,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
2484,0.0,1.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2486,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2491,1.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Early Morning,F
2497,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Turning Maneuver,Normal,Afternoon,M
2500,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
2502,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Morning,F
2507,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2515,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Above Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Afternoon,M
2520,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Night,M
2544,0.0,1.0,Middle-aged,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2547,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
2550,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
2554,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Morning,M
2561,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2565,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,F
2571,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Turning Maneuver,Normal,Morning,F
2586,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
2592,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Shaken,Afternoon,M
2594,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Night,M
2616,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,0,Above Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,M
2630,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
2636,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2643,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Above Average Speed,0.0,Skill,Turning Maneuver,Shaken,Morning,M
2649,0.0,0.0,Elderly,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Straight Ahead,Normal,Afternoon,M
2651,0.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,1.0,Visibility,Turning Maneuver,Normal,Afternoon,M
2654,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
2661,0.0,1.0,Adult,Safe,1.0,0.0,Adverse Weather,Wet,0,Average Speed,0.0,Skill,Straight Ahead,Other,Night,M
2669,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2670,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,1.0,Skill,Turning Maneuver,Normal,Night,M
2679,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2682,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Straight Ahead,Normal,Afternoon,M
2696,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2698,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Night,M
2703,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
2707,0.0,1.0,Middle-aged,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2709,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,M
2711,0.0,1.0,Adolescent,Neutral,1.0,1.0,Clear Weather,Dry,0,Below Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Night,M
2717,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2724,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2733,0.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
2734,1.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,F
2751,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Night,M
2762,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2781,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
2784,1.0,1.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,1.0,Skill,Traffic Maneuver,Normal,Early Morning,M
2788,1.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2806,0.0,0.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2811,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2816,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2825,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
2831,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Wet,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2841,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Wet,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,M
2843,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,M
2857,1.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Straight Ahead,Normal,Early Morning,M
2859,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2869,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
2870,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
2872,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2878,0.0,1.0,Adolescent,Safe,1.0,0.0,Adverse Weather,Wet,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
2883,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2889,0.0,1.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,M
2891,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,0,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
2900,1.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2901,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
2903,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,M
2906,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Early Morning,M
2917,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
2923,0.0,1.0,Elderly,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2925,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
2926,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,F
2931,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Afternoon,M
2941,1.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Straight Ahead,Normal,Night,F
2944,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2948,0.0,1.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
2952,0.0,1.0,Adolescent,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
2960,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
2961,0.0,1.0,Adolescent,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2962,0.0,1.0,Middle-aged,Safe,1.0,0.0,Adverse Weather,Wet,1,Above Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
2963,0.0,0.0,Adult,Unsafe,0.0,0.0,Adverse Weather,Wet,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
2968,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
2969,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Snow,1,Average Speed,0.0,Obstruction,Straight Ahead,Normal,Afternoon,M
2972,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2973,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Night,M
2984,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2987,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
2997,0.0,1.0,Adult,Neutral,0.0,1.0,Adverse Weather,Wet,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3002,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,0.0,Visibility,Straight Ahead,Normal,Afternoon,M
3004,1.0,1.0,Adolescent,Safe,0.0,1.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3012,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Shaken,Night,M
3016,1.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,0.0,Visibility,Straight Ahead,Normal,Afternoon,M
3033,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3038,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
3050,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3060,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3083,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
3084,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,F
3088,0.0,0.0,Middle-aged,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Afternoon,M
3093,1.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3095,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3101,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
3102,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Shaken,Afternoon,M
3103,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3112,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
3115,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
3121,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
3122,0.0,1.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Visibility,Straight Ahead,Normal,Morning,F
3135,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3148,0.0,1.0,Adult,Safe,1.0,0.0,Adverse Weather,Wet,0,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Early Morning,M
3153,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
3156,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Other,Afternoon,M
3157,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
3168,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
3170,0.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3172,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3179,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Obstruction,Straight Ahead,Normal,Morning,F
3183,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Traffic Maneuver,Shaken,Afternoon,M
3187,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Straight Ahead,Normal,Afternoon,M
3191,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Early Morning,M
3203,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3219,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3223,0.0,0.0,Elderly,Safe,0.0,1.0,Adverse Weather,Wet,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
3226,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Wet,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
3236,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,M
3239,0.0,1.0,Adult,Safe,1.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3240,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3244,0.0,0.0,Elderly,Unsafe,1.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
3252,0.0,0.0,Adult,Safe,1.0,1.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3258,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
3266,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Straight Ahead,Normal,Night,M
3281,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3282,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Morning,M
3289,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
3290,0.0,1.0,Adolescent,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3294,1.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3303,0.0,0.0,Elderly,Safe,0.0,1.0,Adverse Weather,Wet,1,Below Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
3316,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3321,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
3325,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3326,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Turning Maneuver,Normal,Afternoon,M
3329,0.0,0.0,Adult,Unsafe,1.0,1.0,Adverse Weather,Wet,0,Average Speed,0.0,Visibility,Traffic Maneuver,Normal,Afternoon,M
3334,1.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,0.0,Skill,Straight Ahead,Impaired,Night,M
3348,1.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
3362,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,F
3366,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Other,Morning,M
3378,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3380,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Morning,M
3381,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3384,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3386,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
3391,1.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,F
3393,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3397,1.0,0.0,Adolescent,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3398,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,M
3402,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,F
3408,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3410,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Snow,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
3415,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
3428,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
3430,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Morning,M
3437,1.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,1.0,Reckless,Straight Ahead,Impaired,Night,M
3438,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3447,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
3467,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
3469,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
3471,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
3472,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
3477,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,F
3493,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
3497,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
3501,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
3508,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
3509,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Morning,M
3516,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
3518,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Night,F
3519,0.0,0.0,Middle-aged,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
