,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
220,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
222,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Stationary Object Maneuver,Normal,Afternoon,M
224,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Visibility,Turning Maneuver,Normal,Afternoon,M
226,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
230,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
234,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Turning Maneuver,Normal,Afternoon,M
241,1.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Stationary Object Maneuver,Normal,Afternoon,M
245,1.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
246,0.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
251,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Straight Ahead,Other,Night,F
252,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Turning Maneuver,Normal,Afternoon,F
254,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,M
255,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
259,0.0,1.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Traffic Maneuver,Other,Morning,M
260,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,F
267,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
268,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Straight Ahead,Normal,Night,M
269,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
272,1.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Afternoon,M
273,1.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
277,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
288,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Stationary Object Maneuver,Shaken,Night,F
289,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,F
290,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
295,0.0,1.0,Adult,Safe,1.0,1.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Straight Ahead,Other,Afternoon,M
298,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
299,0.0,1.0,Elderly,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,F
307,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
308,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
312,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
320,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Turning Maneuver,Normal,Morning,M
321,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
323,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,M
327,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,1,Average Speed,1.0,Skill,Turning Maneuver,Normal,Early Morning,F
328,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Morning,F
332,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
345,0.0,1.0,Adult,Unsafe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Straight Ahead,Normal,Afternoon,M
349,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Above Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
354,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Traffic Maneuver,Normal,Afternoon,F
365,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,0.0,Skill,Traffic Maneuver,Normal,Night,M
366,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
369,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,M
373,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Visibility,Straight Ahead,Normal,Morning,F
379,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
380,1.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
384,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
389,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Wet,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Afternoon,F
401,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
407,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Straight Ahead,Normal,Afternoon,M
412,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Above Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
417,0.0,1.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,1.0,Skill,Turning Maneuver,Normal,Morning,M
420,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,M
422,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Above Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,F
430,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Visibility,Straight Ahead,Normal,Morning,M
432,0.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,0.0,Skill,Stationary Object Maneuver,Normal,Morning,M
440,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Straight Ahead,Normal,Early Morning,M
443,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
449,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
462,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Turning Maneuver,Normal,Morning,F
