,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,physical_bins,hour_bins,SEX
1502,0.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,0,Above Average Speed,Normal,Night,F
1503,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1504,0.0,0.0,Adult,Unsafe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,M
1507,0.0,0.0,Middle-aged,Safe,1.0,1.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
1508,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1510,0.0,1.0,Adult,Unsafe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1511,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
1512,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1513,0.0,0.0,Adult,Neutral,0.0,0.0,Adverse Weather,Wet,1,Below Average Speed,Normal,Afternoon,M
1514,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Early Morning,M
1518,1.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Wet,0,Average Speed,Normal,Night,F
1519,0.0,0.0,Adolescent,Neutral,1.0,1.0,Clear Weather,Snow,0,Average Speed,Normal,Afternoon,M
1520,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
1521,0.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Normal,Morning,F
1522,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1523,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1524,1.0,1.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,F
1525,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1526,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
1527,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
1528,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1529,1.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Night,M
1530,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
1531,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
1532,0.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
1533,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,F
1534,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1535,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1536,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Early Morning,F
1537,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,Normal,Afternoon,M
1538,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1539,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1541,0.0,0.0,Elderly,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1542,0.0,0.0,Middle-aged,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Afternoon,M
1543,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Other,Night,M
1544,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1546,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1549,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Afternoon,M
1550,0.0,1.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1552,1.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1553,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,M
1554,0.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
1555,0.0,0.0,Adolescent,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Other,Night,M
1557,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Above Average Speed,Impaired,Early Morning,M
1558,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1559,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,M
1560,0.0,1.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Early Morning,M
1561,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1564,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Snow,1,Average Speed,Normal,Morning,M
1565,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1566,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1568,1.0,0.0,Adolescent,Safe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Other,Afternoon,F
1569,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
1570,0.0,0.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Other,Early Morning,M
1571,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,M
1572,0.0,1.0,Elderly,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1573,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Snow,1,Average Speed,Normal,Afternoon,M
1575,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,M
1576,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1577,0.0,0.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1581,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
1582,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Other,Afternoon,M
1583,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,M
1585,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1586,1.0,0.0,Elderly,Unsafe,0.0,0.0,Adverse Weather,Dry,1,Average Speed,Normal,Afternoon,M
1587,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1588,0.0,1.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
1589,0.0,1.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1591,1.0,0.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
1592,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Afternoon,M
1593,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1595,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1597,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1598,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1599,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Early Morning,M
1600,0.0,1.0,Middle-aged,Unsafe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1601,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1602,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
1603,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1604,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
1605,0.0,1.0,Adolescent,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1606,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1608,0.0,0.0,Adolescent,Neutral,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1610,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1611,0.0,1.0,Middle-aged,Unsafe,1.0,1.0,Clear Weather,Snow,1,Average Speed,Normal,Afternoon,M
1612,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,M
1613,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,M
1614,1.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1615,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1616,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1618,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Above Average Speed,Normal,Night,M
1620,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
1622,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
1623,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,X
1624,1.0,1.0,Adult,Safe,1.0,0.0,Adverse Weather,Wet,0,Average Speed,Other,Afternoon,F
1627,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,M
1632,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1633,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,F
1634,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1635,1.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1636,0.0,1.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1637,0.0,0.0,Middle-aged,Unsafe,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,Other,Morning,M
1638,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1639,0.0,1.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1640,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1641,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Early Morning,F
1643,1.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
1645,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
1646,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Night,M
1647,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1648,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Other,Early Morning,M
1650,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1651,0.0,0.0,Elderly,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1652,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Snow,1,Average Speed,Normal,Afternoon,M
1653,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1654,0.0,0.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,F
1655,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1656,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1659,0.0,0.0,Elderly,Safe,0.0,0.0,Adverse Weather,Wet,0,Below Average Speed,Normal,Morning,M
1660,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1661,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1662,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1664,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1666,1.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1667,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1668,0.0,1.0,Middle-aged,Safe,1.0,1.0,Adverse Weather,Wet,1,Average Speed,Other,Morning,F
1669,0.0,0.0,Adolescent,Neutral,1.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1671,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1674,0.0,1.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
1675,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Other,Afternoon,M
1677,1.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1679,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1680,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1681,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1682,1.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,F
1683,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Afternoon,M
1685,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1686,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Shaken,Afternoon,M
1687,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1689,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1691,0.0,1.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1692,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1693,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1694,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Afternoon,M
1697,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1698,0.0,1.0,Elderly,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Early Morning,M
1699,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1700,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
1702,0.0,1.0,Middle-aged,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1704,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,X
1705,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1708,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1709,1.0,1.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1710,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1713,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1714,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1716,0.0,0.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1717,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1718,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
1719,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Impaired,Afternoon,M
1720,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Impaired,Night,M
1721,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1722,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1723,0.0,1.0,Adult,Unsafe,1.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
1724,0.0,1.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1725,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1726,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Night,M
1729,0.0,0.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
1730,0.0,1.0,Elderly,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Other,Afternoon,M
1731,1.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Other,Early Morning,M
1733,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1734,1.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Shaken,Night,M
1735,0.0,1.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1736,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1737,1.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1738,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1740,1.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1741,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1742,0.0,1.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,0,Below Average Speed,Normal,Night,M
1744,0.0,0.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1745,0.0,0.0,Adolescent,Safe,1.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1746,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,F
1747,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1750,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1751,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1752,0.0,1.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1753,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1754,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1755,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Other,Afternoon,M
1756,0.0,1.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1760,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1761,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
1763,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1766,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1768,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1769,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Afternoon,M
1770,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
1771,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,F
1774,0.0,0.0,Adult,Safe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,F
1775,0.0,1.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1776,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
1779,1.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,F
1780,0.0,1.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
1781,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1782,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1783,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1784,0.0,0.0,Adolescent,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1785,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
1787,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
1788,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1789,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1791,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1794,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
1795,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1796,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1797,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1798,0.0,1.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1800,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1801,1.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
1802,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1804,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1806,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,F
1807,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1808,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Morning,M
1809,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
1810,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
1811,0.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
1812,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
1815,1.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Night,M
1817,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1818,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
1819,0.0,0.0,Middle-aged,Safe,1.0,0.0,Adverse Weather,Wet,1,Below Average Speed,Normal,Afternoon,M
1820,1.0,0.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,F
1821,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
