,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,physical_bins,hour_bins,SEX
77,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
79,0.0,0.0,Middle-aged,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
81,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
82,0.0,0.0,Middle-aged,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Morning,M
84,0.0,0.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
85,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
86,0.0,1.0,Middle-aged,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
87,0.0,0.0,Adult,Unsafe,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
88,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
89,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
90,0.0,1.0,Adult,Neutral,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
91,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,0,Below Average Speed,Normal,Night,M
93,1.0,0.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
95,0.0,0.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,M
96,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
97,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
98,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
99,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
101,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,F
102,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
103,0.0,0.0,Adult,Unsafe,0.0,1.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,M
104,0.0,0.0,Elderly,Safe,0.0,0.0,Adverse Weather,Wet,0,Below Average Speed,Impaired,Night,M
105,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
107,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
110,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
111,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
112,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
113,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Wet,0,Average Speed,Normal,Night,M
114,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
115,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
116,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
117,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
120,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Above Average Speed,Shaken,Night,M
121,1.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
122,0.0,0.0,Adult,Safe,0.0,1.0,Adverse Weather,Wet,1,Average Speed,Normal,Afternoon,M
123,1.0,1.0,Middle-aged,Unsafe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Normal,Afternoon,M
125,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
126,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
127,0.0,1.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
128,1.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Wet,0,Average Speed,Normal,Night,M
129,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
130,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
131,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Night,F
132,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,M
134,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
135,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
136,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Wet,1,Average Speed,Normal,Morning,F
137,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
138,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
140,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
141,0.0,1.0,Elderly,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Other,Afternoon,M
143,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
144,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Other,Afternoon,M
145,0.0,1.0,Elderly,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Other,Morning,M
146,0.0,1.0,Adult,Safe,1.0,0.0,Adverse Weather,Wet,1,Below Average Speed,Normal,Afternoon,F
147,1.0,0.0,Adult,Neutral,0.0,1.0,Adverse Weather,Wet,1,Above Average Speed,Normal,Morning,M
150,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
151,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
155,1.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
156,0.0,0.0,Elderly,Unsafe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Normal,Night,M
157,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
158,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
159,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
161,0.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Dry,1,Average Speed,Normal,Morning,F
162,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
164,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Adverse Weather,Wet,1,Below Average Speed,Impaired,Morning,M
165,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
169,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Afternoon,M
172,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
173,1.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
176,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,F
178,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
179,0.0,0.0,Adolescent,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
180,1.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Afternoon,F
181,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
182,1.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
183,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
185,0.0,1.0,Middle-aged,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
